,Preposition,Auxiliar,Pronombre,Determinante,Numbers,Adjetives,Nouns,Adverbs,Verbs
0,['a'],['reprimir'],"['Artículo', 'Homicidio', 'Simple']",[],['veinte'],"['privativo', 'menor']",['año'],[],"['matar', 'penar', 'libertar']"
1,"['a', 'a', 'a']",[],"['Artículo', 'Parricidio']",[],['quince'],"['natural', 'adoptivo', 'privativo', 'menor']","['sabiendas', 'cónyuge', 'concubino', 'año']","['ascendiente', 'descendiente']","['matar', 'reprimir', 'penar', 'libertar']"
2,"['a', 'a', 'a', 'a', 'a']","['reprimir', 'matar', 'lucrar', 'publicar', 'expedir', 'reprimir', 'matar', 'publicar', 'reprimir', 'matar', 'publicar', 'reprimir', 'matar']","['Artículo', 'Homicidio', 'Asesinato', 'Artículo', 'Artículo', 'Decreto', 'Legislativo', 'N', '°', 'Ley', 'N', '°', 'Ejecutivo', 'Homicidio', 'Calificado', 'Asesinato', 'Artículo', 'Artículo', 'Artículo', 'Ley', 'N', 'Artículo', 'Homicidio', 'Asesinato', 'Artículo', 'Artículo', 'Ley', 'N', '°', 'Artículo', 'Homicidio', 'Calificado', 'Asesinato', 'Policía', 'Nacional', 'Perú', 'Fuerzas', 'Armadas', 'Magistrado', 'Judicial', 'Ministerio', 'Público']",[],"['quince', 'veinticinco', 'quince', 'quince']","['privativo', 'menor', 'siguiente', 'capaz', 'materia', 'nacional', 'privativo', 'menor', 'siguiente', 'capaz', 'privativo', 'menor', 'siguiente', 'capaz', 'privativo', 'menor', 'siguiente', 'capaz', 'personar']","['año', 'circunstancia', 'ferocidad', 'delito', 'crueldad', 'alevosía', 'veneno', 'fuego', 'explosión', 'vida', 'salud', 'seguridad', 'texto', 'año', 'circunstancia', 'ferocidad', 'placer', 'delito', 'crueldad', 'alevosía', 'fuego', 'explosión', 'veneno', 'vida', 'salud', 'texto', 'año', 'circunstancia', 'ferocidad', 'placer', 'delito', 'crueldad', 'alevosía', 'fuego', 'explosión', 'veneno', 'vida', 'salud', 'texto', 'año', 'circunstancia', 'ferocidad', 'placer', 'delito', 'crueldad', 'alevosía', 'fuego', 'explosión', 'veneno', 'vida', 'salud', 'víctima', 'miembro', 'cumplimiento']",[],"['calificar', 'penar', 'libertar', 'concurrir', 'facilitar', 'ocultar', 'peligrar', 'personar', 'modificar', 'arreglar', 'otorgar', 'facultad', 'legislar', 'penar', 'libertar', 'concurrir', 'lucrar', 'facilitar', 'ocultar', 'peligrar', 'personar', 'modificar', 'calificar', 'penar', 'libertar', 'concurrir', 'lucrar', 'facilitar', 'ocultar', 'peligrar', 'personar', 'modificar', 'agostar', 'penar', 'libertar', 'concurrir', 'lucrar', 'facilitar', 'ocultar', 'peligrar', 'funcionar']"
3,"['a', 'a', 'a', 'A']","['penar', 'imponer', 'ordenar', 'encargar', 'reprimir', 'párrafo', 'estar']","['°', 'C', 'Sicariato', '°', 'Valiéndose', '°', '°', '°', 'B']",[],"['108', 'veinticinco', '6', '36', '1', '2', '3', '4', '5', '107', '108', '108', '6']","['económico', 'privativo', 'menor', 'privativo', 'perpetuo', 'menor', 'inimputable', 'criminal']","['Artículo', 'orden', 'propósito', 'índole', 'año', 'inhabilitación', 'artículo', 'sicariato', 'intermediario', 'cadena', 'conducta', 'edad', 'conducta', 'cumplimiento', 'orden', 'organización', 'ejecución', 'víctima', 'víctima', 'artículo', 'párrafo', 'párrafo', 'guerra']",['numeral'],"['matar', 'encargar', 'obtener', 'beneficiar', 'reprimir', 'penar', 'libertar', 'establecer', 'corresponder', 'acordar', 'actuar', 'penar', 'libertar', 'describir', 'realizar', 'ejecutar', 'intervenir', 'personar', 'personar', 'comprender', 'utilizar', 'armar']"
4,['a'],"['reprimir', 'ofrecer']","['conspiracion sicariato’, 'D']",[],"['108', '1', '2', 'diez']","['sicariato', 'privativo', 'menor', 'sicariato', 'privativo', 'menor', 'menor', 'inimputable']","['Artículo', 'conspiración', 'ofrecimiento', 'delito', 'año', 'conspiración', 'delito', 'sicariato', 'delito', 'intermediario', 'año', 'conducta', 'intervención', 'edad']",[],"['penar', 'libertar', 'participar', 'promover', 'favorecer', 'facilitar', 'solicitar', 'cometer', 'actuar', 'penar', 'libertar', 'describir', 'realizar']"
5,"['a', 'a']","['reprimir', 'encontrar']","['B', 'Feminicidio644', 'Violencia', 'Coacción', 'Abuso']",[],"['108', 'quince', '1', '2', '3', '4', '1', '2', '3', '4', '5']","['privativo', 'menor', 'siguiente', 'familiar', 'sexual', 'agente', 'conyugal', 'agente', 'privativo', 'menor', 'siguiente', 'menor', 'agente', 'sexual']","['°', 'año', 'mujer', 'condición', 'contexto', 'confianza', 'posición', 'relación', 'autoridad', 'discriminación', 'mujer', 'relación', 'convivencia', 'veinticinco', 'año', 'circunstancia', 'víctima', 'edad', 'víctima', 'gestación', 'víctima', 'responsabilidad', 'víctima', 'violación', 'acto', 'mutilación', 'delito', 'víctima', 'tipo', 'discapacidad']","['independientemente', 'agravante', 'previamente']","['penar', 'libertar', 'matar', 'hostigamiento', 'acosar', 'conferir', 'formar', 'existir', 'existir', 'penar', 'libertar', 'concurrir', 'encontrar', 'cuidar', 'someter', 'cometerse', 'padecer']"
6,"['A', 'a', 'a', 'a', 'a', 'a']","['reprimir', 'años63']","['°', 'Homicidio', 'Calificado', 'Condición', '°', 'Constitución', 'Política', 'Perú', 'Policía', 'Nacional', 'Fuerzas', 'Armadas', 'Magistrado', 'Judicial', 'Ministerio', 'Publico', 'Miembro', 'Tribunal', 'Constitucional', 'Artículo']",[],"['108', '39', '25', '35', '3']","['alto', 'funcionario', 'popular', 'privativo', 'menor']","['Artículo', 'artículo', 'miembro', 'autoridad', 'mandato', 'ejercicio', 'consecuencia', 'año']",[],"['víctima', 'matar', 'comprender', 'elegir', 'funcionar', 'penar', 'libertar']"
7,['a'],['reprimir'],"['Artículo', 'Homicidio', 'emoción']",[],['diez'],"['violento', 'violento', 'excusable', 'privativo', 'menor', 'menor']","['imperio', 'emoción', 'circunstancia', 'año', 'circunstancia', 'artículo', 'año']",[],"['matar', 'penar', 'libertar', 'concurrir', 'prever', 'penar']"
8,"['a', 'a']",['reprimir'],"['Artículo', 'Infanticidio']",[],"['cincuenta', 'ciento']","['puerperal', 'privativo', 'menor', 'comunitario']","['madre', 'hijo', 'partir', 'año', 'prestación', 'servicio', 'jornada']",[],"['matar', 'influenciar', 'penar', 'libertar']"
9,"['a', 'a']","['estar', 'casar', 'casar']","['Artículo', 'Homicidio', 'Artículo', 'Artículo', 'Ley', 'N', '°', 'Artículo', 'Homicidio', 'Culposo', 'Artículo', 'Párrafo', 'Artículo', 'Ley', 'N', '°', 'Párrafo', 'Artículo', 'Ley', 'N', '°']",[],"['cincuenta', 'ciento', 'cincuenta', 'ciento']","['culposo', 'privativo', 'comunitario', 'técnico', 'privativo', 'menor', 'artículo', 'inciso', 'privativo', 'comunitario', 'privativo', 'menor', 'inciso', 'agente', 'estupefaciente', 'reglar', 'técnico', 'privativo', 'menor', 'menor', 'privativo', 'menor', 'artículo', 'inciso', 'agente', 'efecto', 'tóxico', 'estupefaciente', 'psicotrópico', 'sintético', 'público', 'pasajero', 'reglar', 'técnico', 'tránsito']","['muerte', 'año', 'prestación', 'servicio', 'jornada', 'víctima', 'delito', 'inobservancia', 'profesión', 'ocupación', 'año', 'inhabilitación', 'texto', 'muerte', 'año', 'prestación', 'servicio', 'jornada', 'año', 'año', 'inhabilitación', 'vehículo', 'efecto', 'ebriedad', 'alcohol', 'proporción', 'gramo', 'litro', 'víctima', 'delito', 'inobservancia', 'tránsito', 'noviembre', 'texto', 'año', 'año', 'inobservancia', 'profesión', 'ocupación', 'año', 'año', 'año', 'inobservancia', 'profesión', 'ocupación', 'víctima', 'año', 'noviembre', 'texto', 'año', 'año', 'inhabilitación', 'muerte', 'vehículo', 'fuego', 'alcohol', 'proporción', 'gramo', 'litro', 'particular', 'gramo', 'litro', 'delito', 'inobservancia']",[],"['culpar', 'ocasionar', 'personar', 'reprimir', 'penar', 'libertar', 'resultar', 'reglar', 'industriar', 'penar', 'libertar', 'conformar', 'modificar', 'publicar', 'culpar', 'ocasionar', 'personar', 'reprimir', 'penar', 'libertar', 'penar', 'libertar', 'corresponder', 'conformar', 'conducir', 'motorizar', 'presenciar', 'sangrar', 'resultar', 'modificar', 'publicar', 'penar', 'libertar', 'delito', 'resultar', 'reglar', 'industriar', 'víctima', 'penar', 'delito', 'resultar', 'reglar', 'industriar', 'penar', 'modificar', 'publicar', 'penar', 'libertar', 'corresponder', 'conformar', 'cometer', 'utilizar', 'motorizar', 'armar', 'drogar', 'sustanciar', 'presenciar', 'sangrar', 'transportar', 'transportar', 'mercancía', 'cargar', 'resultar']"
